Stallone,Sylvester
Akhtar,Farhan
Kohli,Kunal
Pinkaew,Prachya
Wiseman,Len
Wallace,Randall
Twohy,David
Helgeland,Brian
Sommers,Stephen
Norrington,Stephen
Palma,Brian De
Harlin,Renny
Donaldson,Roger
Mulcahy,Russell
Badham,John
Neame,Ronald
Schneider,Aaron
Soderbergh,Steven
Sollima,Stefano
Zafar,Ali Abbas
Feig,Paul
Chandor,J.C.
Trank,Josh
Yau,Herman
Baird,Jon S.
Gudegast,Christian
Schwentke,Robert
Gormican,Tom
Stiller,Ben
Chan,Peter Ho-Sun
Yip,Wai-Man
Jennings,Garth
Forster,Marc
Branagh,Kenneth
Acker,Shane
Sandberg,David F.
Toro,Guillermo del
Khan,Farah
Leterrier,Louis
Gans,Christophe
Pirès,Gérard
Ratner,Brett
Hoblit,Gregory
Cohen,Rob
Dickerson,Ernest R.
Gilbert,Lewis
Guillermin,John
Cimino,Michael
Haskin,Byron
Mackenzie,David
Tjahjanto,Timo
Sharma,Maneesh
Maclean,John
Daley,John Francis
Goldstein,Jonathan
Kasdan,Jake
Matthews,Michael
Hughes,Patrick
Grunberg,Adrian
Tremaine,Jeff
Nachmanoff,Jeffrey
Webb,Marc
Green,David Gordon
Neveldine,Mark
Taylor,Brian
Lowney,Declan
Fresnadillo,Juan Carlos
Johnston,Joe
Chan,Benny
Trevorrow,Colin
Turteltaub,Jon
Lurie,Rod
Trousdale,Gary
Wise,Kirk
Tamahori,Lee
West,Simon
Russell,Chuck
Noyce,Phillip
Caton-Jones,Michael
Dekker,Fred
Cox,Alex
Milius,John
Davis,Desmond
Needham,Hal
Winner,Michael
Crichton,Michael
Wu,Chia-Hsiang
Bettinelli-Olpin,Matt
Gillett,Tyler
Carnahan,Joe
Bruno,Nick
Quane,Troy
Higuchi,Shinji
Boden,Anna
Fleck,Ryan
Wirkola,Tommy
Taylor,Alan
Ball,Wes
Molina,Fernando González
Hughes,Albert
Hughes,Allen
Wright,Joe
Gray,James
Singleton,John
Yuen,Corey
Marshall,Neil
Oz,Frank
Cain,Christopher
Dante,Joe
Arnold,Newt
Lester,Richard
Anderson,Michael
Hunt,Peter R.
Hargrave,Sam
Lemmons,Kasi
McLean,Greg
Simard,François
Whissell,Anouk
Whissell,Yoann-Karl
Shortland,Cate
